Current_State,Recommended_Action,Predicted_Next_State,Reward,Projected_Energy_Saving (%),Confidence (%),Confidence_Level
0.8-0.0-0.8,Reduce Lighting,"(0.6, 0.0, 0.8)",0.2,25.0,100.0,High
0.8-0.0-0.9,Do Nothing,"(0.8, 0.0, 0.9)",0.0,0.0,0.0,Low
0.8-0.1-0.4,Do Nothing,"(0.8, 0.1, 0.4)",0.0,0.0,0.0,Low
0.8-0.1-0.5,Reduce HVAC,"(0.5, 0.1, 0.6)",0.29,37.5,100.0,High
0.8-0.1-0.6,Check Equipment,"(0.7, 0.1, 0.6)",0.1,12.5,100.0,High
0.8-0.1-0.8,Reduce Lighting,"(0.6, 0.1, 0.8)",0.2,25.0,100.0,High
0.8-0.2-0.7,Check Equipment,"(0.7, 0.2, 0.7)",0.1,12.5,100.0,High
0.8-0.2-0.8,Do Nothing,"(0.8, 0.2, 0.8)",0.0,0.0,0.0,Low
0.8-0.3-0.4,Check Equipment,"(0.7, 0.3, 0.4)",0.1,12.5,100.0,High
0.8-0.3-0.7,Do Nothing,"(0.8, 0.3, 0.7)",0.0,0.0,0.0,Low
0.8-0.3-0.8,Do Nothing,"(0.8, 0.3, 0.8)",0.0,0.0,0.0,Low
0.8-0.4-0.7,Check Equipment,"(0.7, 0.4, 0.7)",0.1,12.5,100.0,High
0.8-0.6-0.4,Do Nothing,"(0.8, 0.6, 0.4)",0.0,0.0,0.0,Low
0.9-0.0-0.5,Do Nothing,"(0.9, 0.0, 0.5)",0.0,0.0,0.0,Low
0.9-0.0-0.6,Reduce HVAC,"(0.6, 0.0, 0.7)",0.3,33.33,100.0,High
0.9-0.0-0.7,Reduce Lighting,"(0.7, 0.0, 0.7)",0.2,22.22,100.0,High
0.9-0.0-0.8,Do Nothing,"(0.9, 0.0, 0.8)",0.0,0.0,0.0,Low
0.9-0.1-0.6,Do Nothing,"(0.9, 0.1, 0.6)",0.0,0.0,0.0,Low
1.0-0.0-0.7,Do Nothing,"(1.0, 0.0, 0.7)",0.0,0.0,0.0,Low
