Current_State,Recommended_Action,Predicted_Next_State,Reward,Projected_Energy_Saving (%),Confidence (%),Confidence_Level
0.4-0.1-0.8,Do Nothing,"(0.4, 0.1, 0.8)",0.0,0.0,0.0,Low
0.4-0.2-0.3,Do Nothing,"(0.4, 0.2, 0.3)",0.0,0.0,0.0,Low
0.4-0.2-0.4,Reduce Lighting,"(0.2, 0.2, 0.4)",0.2,50.0,100.0,High
0.4-0.2-0.5,Reduce Lighting,"(0.2, 0.2, 0.5)",0.2,50.0,100.0,High
0.4-0.2-0.6,Do Nothing,"(0.4, 0.2, 0.6)",0.0,0.0,0.0,Low
0.4-0.2-0.7,Do Nothing,"(0.4, 0.2, 0.7)",0.0,0.0,0.0,Low
0.4-0.2-0.8,Do Nothing,"(0.4, 0.2, 0.8)",0.0,0.0,0.0,Low
0.4-0.3-0.3,Do Nothing,"(0.4, 0.3, 0.3)",0.0,0.0,0.0,Low
0.4-0.3-0.4,Do Nothing,"(0.4, 0.3, 0.4)",0.0,0.0,0.0,Low
0.4-0.3-0.5,Reduce Lighting,"(0.2, 0.3, 0.5)",0.2,50.0,100.0,High
0.4-0.3-0.6,Check Equipment,"(0.3, 0.3, 0.6)",0.1,25.0,100.0,High
0.4-0.3-0.7,Do Nothing,"(0.4, 0.3, 0.7)",0.0,0.0,0.0,Low
0.4-0.3-0.8,Do Nothing,"(0.4, 0.3, 0.8)",0.0,0.0,0.0,Low
0.4-0.4-0.2,Do Nothing,"(0.4, 0.4, 0.2)",0.0,0.0,0.0,Low
0.4-0.4-0.3,Do Nothing,"(0.4, 0.4, 0.3)",0.0,0.0,0.0,Low
0.4-0.4-0.4,Do Nothing,"(0.4, 0.4, 0.4)",0.0,0.0,0.0,Low
0.4-0.4-0.5,Check Equipment,"(0.3, 0.4, 0.5)",0.1,25.0,100.0,High
0.4-0.4-0.6,Reduce Lighting,"(0.3, 0.4, 0.6)",0.1,25.0,100.0,High
0.4-0.4-0.7,Reduce Lighting,"(0.3, 0.4, 0.7)",0.1,25.0,70.42,High
0.4-0.5-0.3,Check Equipment,"(0.3, 0.5, 0.3)",0.1,25.0,100.0,High
